Load Throughput
500 1250
1000 2500
1500 3750
2000 5000
2500 6250
3000 7500
3500 8744
4000 10018
4500 11259
5000 12502
5500 13775
6000 15021
6500 16284
7000 17581
7500 18847
8000 20107
8500 21376
9000 22663
9500 23845
10000 25218
10500 26326
11000 27554
11500 28925
12000 29782
12500 30617
13000 30060
13500 30379
14000 29751
14250 30608
14500 31106
14750 31159
15000 31389
15250 31151
15500 31070
15750 31426
16000 30968
16250 31283
16500 31931
16750 31042
17000 31417
17250 31098
17500 31079
17750 30784
18000 31057
